country,state,county,name,lat,lng
AF,Sar-e Pol Province,Sancharak,Sang-e Chārak,35.84972,66.43694
AF,Badghis,Muqur,Sang Atesh,35.248,63.0044
AF,Nangarhar Province,Kama,Sangar Sarāy,34.40744,70.63937
AF,Samangan,Aybak District,Aībak,36.26468,68.01551
AF,Bamyan,Kahmard,Rū-ye Sang,35.31999,67.63387
AF,Nimruz Province,Chahar Burjak,Rūdbār,30.15,62.6
AF,Takhar Province,Rustaq,Rustāq,37.12604,69.83045
AF,Herat Province,Kushk,Rabāţ-e Sangī-ye Pā’īn,34.79951,62.13917
AF,Ghazni Province,Dih Yak,Rāmak,33.52234,68.6264
AF,Faryab,Qurghan,Qurghān,36.91939,65.0649
AF,Daykundi,,Quchanghī,34.06183,66.27801
AF,Faryab,Qaysar,Qaīşār,35.68747,64.29318
AF,Jowzjan Province,Qarqin,Qarqīn,37.41853,66.04358
AF,Laghman Province,Qarghayi,Qarghah’ī,34.55402,70.24292
AF,Balkh Province,Dawlatabad,Qarchī Gak,37.03999,66.78891
AF,Kunduz Province,Imam Sahib,Qarāwul,37.21959,68.7802
AF,Herat Province,Gulran,Qarah Bāgh,34.94023,61.77589
AF,Ghazni Province,Qarabagh,Qarah Bāgh,33.19801,68.10798
AF,Badghis,Qala i Naw,Qala i Naw,34.98735,63.12891
AF,Badakhshan Province,Kuf Ab,Qal‘ah-ye Kūf,38.04119,70.47298
AF,Farah Province,Gulistan,Qal‘ah-ye Kuhnah,32.61591,63.66681
AF,Sar-e Pol Province,Kohistanat,Qal‘ah-ye Shahr,35.54729,65.5676
AF,Zabul Province,Qalat,Qalāt,32.10575,66.90833
AF,Nangarhar Province,Kuz Kunar,Qal‘ah-ye Shāhī,34.64921,70.5914
AF,Badghis,Qadis,Qādis,34.8085,63.43003
AF,Nuristan Province,Parun,Pārūn,35.42064,70.92261
AF,Baghlan Province,Pul-e Khumri,Pul-e Khumrī,35.94458,68.71512
AF,Logar Province,Puli Alam,Pul-e ‘Alam,33.99529,69.02274
AF,Sar-e Pol Province,Kohistanat,Pasnay,35.76664,65.76486
AF,Kandahar Province,Zhari,Pāshmūl,31.5572,65.4343
AF,Ghor,,Pasāband,33.68956,64.8531
AF,Bamyan,Panjab,Panjāb,34.38795,67.02327
AF,Kabul Province,Paghman,Paghmān,34.58787,68.95091
AF,Paktika Province,Omna,Ōmnah,32.90029,68.79627
AF,Herat Province,Obe,Ōbêh,34.36972,63.17639
AF,Urōzgān,Khas Uruzgan,Uruzgān,32.92775,66.63253
AF,Paktika Province,Urgun,Urgun,32.9515,69.1828
AF,Badakhshan Province,Darwaz-e Pa'in,Nūsay,38.4435,70.80413
AF,Kunar Province,Nurgal,Nūrgal,34.61341,70.76498
AF,Helmand,Nawzad,Now Zād,32.40315,64.46959
AF,Daykundi,,Nīlī,33.72178,66.13023
AF,Bamyan,Yakawlang,Nayak,34.73414,66.95292
AF,Zabul Province,Dey Chopan,Nāyak,32.5723,66.77403
AF,Panjshir Province,,Now Dahānak,35.62398,70.00511
AF,Ghazni Province,Nawur,Ōkak,33.89793,67.95652
AF,Kunar Province,Nari,Nāṟay,35.21995,71.52284
AF,Kunar Province,Narang Aw Badil,Narang,34.76009,71.04738
AF,Paktika Province,Ziruk,Nīkêh,33.18934,69.27179
AF,Baghlan Province,Nahrin,Nahrīn,36.0649,69.13343
AF,Helmand,Nad Ali,Ḩukūmat-e Nād ‘Alī,31.64286,64.23982
AF,Helmand,Musa Qal`ah,Mūsá Qal‘ah,32.44565,64.74486
AF,Badghis,Murghab,Bala Murghab,35.58408,63.32886
AF,Ghazni Province,Muqur,Muqêr,32.82009,67.76934
AF,Logar Province,Mohammad Agha,Muḩammad Āghah Wuluswālī,34.21422,69.10026
AF,Zabul Province,Mizan,Mīzān ‘Alāqahdārī,32.17635,66.51271
AF,Kabul Province,Mir Bacha Kot,Mīr Bachah Kōṯ,34.74999,69.11899
AF,Maidan Wardak,Day Mirdad,Mīrān,34.22037,68.31259
AF,Nimruz Province,Chahar Burjak,Mīrābād,30.43624,61.8383
AF,Faryab,Maymana,Maymana,35.92139,64.78361
AF,Paktia Province,Janikhel,Maīdān Khūlah,33.64916,69.7812
AF,Jowzjan Province,Mingajik,Mingajik,37.0279,66.12817
AF,Laghman Province,Mihtarlam,Mehtar Lām,34.67139,70.20944
AF,Balkh Province,,Mazār-e Sharīf,36.70904,67.11087
AF,Badakhshan Province,Darwaz-e Bala,Māymay,38.40856,71.03839
AF,Paktika Province,Mata Khan,Mutā Khān,33.24001,68.8663
AF,Badakhshan Province,Kishim,Mashhad,36.81665,70.10211
AF,Jowzjan Province,Mardyan,Mardīān,36.99252,66.29654
AF,Nuristan Province,Mandol,Mandōl,35.28403,70.17017
AF,Nangarhar Province,Sherzad,Māmā Khēl,34.24494,69.9968
AF,Helmand,Lashkargah,Lashkar Gāh,31.59382,64.37161
AF,Farah Province,Lash Wa Juwayn,Lāsh-e Juwayn,31.71382,61.62272
AF,Sar-e Pol Province,Balkhab,Larkird,35.48936,66.66409
AF,Ghor,La‘l wa Sar Jangal,La‘l,34.50141,66.27997
AF,Herat Province,Shindand,Kushk,33.29565,61.95221
AF,Nimruz Province,Khash Rod,Rāẕay Balochi,31.46404,62.69955
AF,Nangarhar Province,Haska Meyna,Kōṯowāl,34.10319,70.46073
AF,Herat Province,Kushki Kuhna,Kushk-e Kuhnah,34.8711,62.54762
AF,Badakhshan Province,Kuran wa Munjan,Kuran wa Munjan,36.02866,70.77258
AF,Kunduz Province,Kunduz District,Kunduz,36.72895,68.857
AF,Logar Province,Khoshi,Khōshī,33.99916,69.21582
AF,Paktika Province,Dila,Khōshāmand,32.68567,68.23801
AF,Takhar Province,Khwaja Ghar,Khwājah Ghār,37.06588,69.42126
AF,Jowzjan Province,Khwaja Du Koh,Khwājah Dū Kōh,36.82881,65.62432
AF,Badakhshan Province,Khwahan,Deh Khwāhān,37.88965,70.21875
